trait_domain_name,taxon_name,n_records,mean,median,sd,iqr,n_suspected_outliers
Diaspore mass,Vernonia arkansana,50,1.4064,1.4064,0,0,0
Diaspore mass,Viola praemorsa,10,3.3365,3.262,0.2856156119293512,0.29000000000000004,2
Diaspore mass,Zizia aptera,51,0.35816993431372546,0.324933333,0.23735680948998386,0,0
Leaf Area,ARCTOSTAPHYLOS UVA-URSI,59,29.539993298756556,3.31678772125,60.40280851297569,49.007269603124996,4
Leaf Area,ATROPA BELLA-DONNA,20,8426.8569,8071.9375,1808.3179312525103,1537.839,2
Leaf Area,Abies alba,142,267.3751641851107,274,83.9819589072069,87.75,13
Leaf Area,Abies concolor,20,1.0005,0.795,0.7387576698328363,1.1900000000000002,0
Leaf Area,Abutilon incanum,10,4.322579700125605,2.466248493279815,4.01383241671495,2.378044331586713,2
Leaf Area,Acamptopappus sphaerocephalus,11,1.4842029707236117,1.50668419899189,0.15868462046743786,0.2696286438480351,0
Leaf Area,Acer granatense,31,125.85798225806451,12.1204,580.098975401672,33.30222500000001,2
Leaf Area,Acer monspessulanum,24,94.37397083333333,5.8818,298.76686893801894,5.734,3
Leaf Area,Acer negundo,10,8425.277685,7713.160524999999,4849.310818201882,8172.3922,0
Leaf Area,Acer obtusatum,20,8248.6696,7768.6295,2137.801235037986,1295.7039999999997,6
Leaf Area,Acer palmatum,20,19.357007,16.897495,12.44506617561865,15.6471375,1
Leaf Area,Acer pensylvanicum,15,5304.8324444444415,187.87,6164.677132135834,10559.71,1
Leaf Area,Acer rubrum,195,4509.478651794871,4940.9,4367.46349298532,8003.5785000000005,1
Leaf Area,Acer saccharinum,16,287.96963125,5.11685,1131.2095456733327,2.4042499999999998,2
Leaf Area,Acer saccharum,151,2360.5289587637967,53.081,3592.884953338381,4920.63512,21
Leaf Area,Acer spicatum,13,891.9092307692308,47.43,2062.9299755301986,12.57,2
Leaf Area,Achillea aspleniifolia,10,185.79,170.6,62.485081775128094,109.17500000000001,0
Leaf Area,Achillea collina,10,1009.067,958.165,356.232473628918,314.3325000000001,1
Leaf Area,Achillea maritima,22,63.10409090909091,57.675,17.52767951367776,21.827499999999986,2
Leaf Area,Achillea millefolium,443,376.02396261143645,4.446,1274.3253385318524,355.35820595,78
Leaf Area,Achillea nobilis,10,93.901,87.5,32.12518307773168,29.747500000000002,1
Leaf Area,Acmispon rigidus,11,1.61038519123194,1.58539972114143,0.32929615177444743,0.41880549921533006,1
Leaf Area,Acmispon wrightii,21,0.9218952380952381,0.8983,0.3526278002032603,0.4417000000000001,2
Leaf Area,Aconitum anthora,16,1689.9125,1597,607.025595149551,660.8000000000002,2
Leaf Area,Aconitum lycoctonum,23,9938.02608695652,10289.2,3820.6944112077313,6315.950000000001,0
Leaf Area,Actaea rubra,14,87.88607142857143,61.9405,73.04706904925627,104.48225,1
Leaf Area,Actaea spicata,14,13226.342142857144,12680.261,2173.261637409996,1097.1625000000004,2
Leaf Area,Adenophora liliifolia,11,884.6045454545455,724.6,461.10621902905706,284.35,2
Leaf Area,Adonis vernalis,15,836.0933333333334,746.7,210.06066969421227,265.75,1
Leaf Area,Aegopodium podagraria,25,10759.61016288,11176.87308,4217.103688318665,4303.348,2
Leaf Area,Ageratina altissima,27,250.51827037037037,30.2026,1164.0933462186536,18.0373,2
