analysis_id,tier_id,continent_id,resolution_id,scale_id,cv_budget_status,cv_budget_assignment_scope,cv_budget_source_scale_id,cv_budget_order,cv_n_iter_initial,cv_n_iter_max,cv_n_sampling,cv_n_step_size,cv_n_early_stopping,cv_measured_seconds_per_fit,cv_measured_seconds_per_epoch
paleo_spatial,local,europe,family,eu_r008_l013,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l014,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l015,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l016,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r009_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r009_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r009_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r009_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r009_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r009_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r009_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r009_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r001_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r001_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r001_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r001_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r002_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r002_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r002_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r002_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r002_l005,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r002_l006,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r002_l007,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r002_l008,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r003_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r003_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r003_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r003_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r004_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r004_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,america,family,am_r004_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
