taxon_name,trait_domain_name,data_source_id,n_records,source_taxon_median,source_taxon_log10_median,n_sources_for_taxon,other_source_median,cross_source_ratio,cross_source_log10_gap,cross_source_nearest_factor,cross_source_factor_relative_error,flag_cross_source_corroborated,n_source_taxon_groups,domain_log10_median,lwr_25_log10,upr_75_log10,iqr_log10,global_outlier_lwr,global_outlier_upr,flag_global_log_outlier,global_ratio_to_median,global_nearest_factor,suggested_scale_factor,diagnostic_reason,diagnostic_priority
Coptis trifolia,Leaf mass per area,468,10,235.3266888150609,2.3716711840728246,1,NA,NA,NA,NA,NA,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,8.397286143946283e-5,1e-4,1e-4,global_log_outlier,medium
Cornus alternifolia,Leaf mass per area,468,8,350.98522167487687,2.545288830767335,4,0.013474770642201836,3.839127635602768e-5,4.415767449092147,1e-4,0.6160872364397232,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,5.630167372454123e-5,1e-4,1e-4,global_log_outlier,medium
Cornus canadensis,Leaf mass per area,468,10,555.5555555555555,2.744727494896694,6,0.006974728309902395,1.2554510957824312e-5,4.901200199912819,1e-5,0.2554510957824311,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.556989977917445e-5,1e-4,1e-4,global_log_outlier,medium
Cornus sanguinea,Leaf mass per area,292,1,63.699999999999825,1.8041394323353492,10,0.01612153461213091,2.530853157320401e-4,3.5967330523192285,1e-4,1.5308531573204007,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.102206504375942e-4,1e-4,1e-4,global_log_outlier,medium
Corylus cornuta,Leaf mass per area,468,7,312.5,2.494850021680094,5,0.014782575862658319,4.730424276050662e-5,4.325099905248636,1e-4,0.5269575723949338,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,6.323537738519902e-5,1e-4,1e-4,global_log_outlier,medium
Crataegus monogyna,Leaf mass per area,292,1,103.10000000000002,2.0132586652835167,13,0.05155811604505922,5.000787201266655e-4,3.300961625612688,0.001,0.4999212798733345,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.916688208814228e-4,1e-4,1e-4,global_log_outlier,medium
Cypripedium acaule,Leaf mass per area,468,2,409.6989966555184,2.612464900376122,1,NA,NA,NA,NA,NA,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,4.823310673003701e-5,1e-4,1e-4,global_log_outlier,medium
Delphinium nuttallianum,Leaf mass per area,258,20,200.380608974359,2.3018556921308595,3,0.047201492548537394,2.3555918304738442e-4,3.6278999605445414,1e-4,1.3555918304738441,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,9.861760343987849e-5,1e-4,1e-4,global_log_outlier,medium
Dendrolycopodium obscurum,Leaf mass per area,468,10,125.8309591642925,2.09978750708734,1,NA,NA,NA,NA,NA,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.5704446317597775e-4,1e-4,1e-4,global_log_outlier,medium
Deparia acrostichoides,Leaf mass per area,468,7,500,2.6989700043360187,4,0.002239999999992832,4.479999999985664e-6,5.3487219860032456,1e-5,0.5520000000014336,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.952211086574939e-5,1e-4,1e-4,global_log_outlier,medium
