sel_name,kingdom,phylum,class,order,family,genus,species
Empetrum,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Empetrum,NA
Empetrum Nigrum,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Empetrum,Empetrum nigrum
Ephedra distachya,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,Ephedra distachya
Ephedra Distachya-Type,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
Ephedra fragilis,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,Ephedra fragilis
Ephedra Major,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,Ephedra major
Ephedra Torreyana,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,Ephedra torreyana
Ephedra Trifurca-Type,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
Ephedra Undiff,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
Ephedra Viridis-Type,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
Erica Arborea,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,Erica Arborea
Erica Australis,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,Erica australis
Erica Ciliaris,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,Erica ciliaris
Erica Cinerea,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,Erica cinerea
Erica Tetralix,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,Erica tetralix
Erica Umbellata,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,Erica umbellata
Ericaceae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,NA,NA
Ericaceae Cf Ledum,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,NA,NA
Ericaceae Undiff,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,NA,NA
Ericales,Plantae,Tracheophyta,Magnoliopsida,Ericales,NA,NA,NA
Ericales Tetrad),Plantae,Tracheophyta,Magnoliopsida,Ericales,NA,NA,NA
