finding_type,severity,current_path,symbol,owning_issue,message
function_naming,report_only,R/Functions/Utility/Paths_and_stores/get_model_tuning_param_for_scale_and_resolution.R,get_model_tuning_param_for_scale_and_resolution,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Paths_and_stores/get_model_tuning_params.R,get_model_tuning_params,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Paths_and_stores/get_scale_id_from_store.R,get_scale_id_from_store,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Pipeline/get_new_targets_errors.R,get_new_targets_errors,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Pipeline/monitor_pipeline_progress.R,monitor_pipeline_progress,#155,Review leading verb `monitor` against version 1.
function_naming,report_only,R/Functions/Utility/Validation/align_sample_ids.R,align_sample_ids,#155,Review leading verb `align` against version 1.
function_naming,report_only,R/Functions/Utility/Validation/check_data_sample_ids_n.R,check_data_sample_ids_n,#155,Review leading verb `check` against version 1.
function_naming,report_only,R/Functions/Utility/Validation/check_min_n_cores.R,check_min_n_cores,#155,Review leading verb `check` against version 1.
function_naming,report_only,R/Functions/Utility/Validation/check_presence_of_vegvault.R,check_presence_of_vegvault,#155,Review leading verb `check` against version 1.
function_naming,report_only,R/Functions/Visualisation/Legends_and_colours/mix_variance_component_colours.R,mix_variance_component_colours,#155,Review leading verb `mix` against version 1.
missing_function,report_only,R/Functions/Utility/Config/get_active_config.R,NA,#150,Record the approved function move or removal.
missing_function,report_only,R/Functions/Utility/Config/get_config_value_with_fallback.R,NA,#150,Record the approved function move or removal.
missing_script,report_only,R/03_Supplementary_analyses/Testing/testthat/test-get_active_config.R,NA,#150,Record the approved script move or removal.
missing_script,report_only,R/03_Supplementary_analyses/Testing/testthat/test-get_config_value_with_fallback.R,NA,#150,Record the approved script move or removal.
nested_named_helper,report_only,R/Functions/Modelling/Cross_validation/assemble_sjsdm_cached_selected_folds.R,get_cache_record;prepare_fold_function;fit_function;predict_function,#141,Extract or explicitly retain the named nested helper.
nested_named_helper,report_only,R/Functions/Modelling/Cross_validation/assess_sjsdm_candidate_guardrails.R,prepare_tuning_candidate;prepare_repeat_metrics,#141,Extract or explicitly retain the named nested helper.
