candidate_id,review_stage,taxon_name,trait_domain_name,n_records,n_trait_names,n_datasets,n_domain_outliers,n_taxon_outliers,n_invalid_values,source_references,candidate_reasons,n_source_rules,n_proposed_source_rules,n_approved_source_rules,proposed_source_rule_ids,approved_source_rule_ids,investigation_outcome
e2e299ce5dee2e541ee7135ab951101b1b789c224e89314391e00a8b259dda32,classified,Polygala major,Leaf Area,11,1,2,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
74b3ba634020c27952d88062ccebc1ef9d4c154a3740c1613c019e90d3e3ce82,classified,Polygala vulgaris,Leaf Area,21,3,3,0,1,0,,taxon_outlier,2,0,2,,3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6;97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
cd2eb81ccebf3d53a7163d761f19207f9ed31d999603d784f8819d3cfdef7e06,classified,Polygonatum multiflorum,Leaf Area,41,2,5,1,1,0,,domain_outlier;taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
0371f44d3110d6eb022ce409492d933e8a250486d9e59ed096aaf08a0b508603,classified,Polygonatum pubescens,Leaf Area,10,1,8,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
6bfb1208cde66f202d36c7fe7e6f0a9f43d18fb0b511cffc8df78bd8fa3247e0,classified,Polygonum arenarium,Leaf Area,10,1,1,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
3dfdfc0a8d56f9a73113cf6bd436b6f10cd9774b252197c19106994927790f70,classified,Polygonum aviculare,Leaf Area,21,2,3,0,1,0,,taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
99ea06e99412d1215158dc74a3f24211fdafd257ee77468f0de9d541a4011fed,classified,Polygonum douglasii,Leaf Area,26,1,3,0,3,0,,taxon_outlier,0,0,0,,,approve_none_grouped
dbbc96f4c8e95d05f7ac14f3849c1d82e24cd3180abade60138c52ba590d5e5a,classified,Polypodium vulgare,Leaf Area,40,1,4,12,4,0,,domain_outlier;taxon_outlier,0,0,0,,,approve_none_grouped
db76af244698152687bf70849321b2818a0d4b36555550b0355cc32138d75c6a,classified,Populus fremontii,Leaf Area,32,2,3,2,2,0,,domain_outlier;taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
f9b4760a27d947bc52f125f6661e97a1346f81652d482dd2ad60946c1e634500,classified,Populus tremula,Leaf Area,28,2,7,21,4,0,,domain_outlier;taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
e11cc20116cef8b720058c770e8722f5d957d19bc1d10248403f05feb2cd145c,classified,Populus tremuloides,Leaf Area,67,4,14,3,13,0,,domain_outlier;taxon_outlier,1,0,1,,97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
1e7a7d375e4e34a25a5c14faa7453ca42f7c5841aaa3ab5a30e74f1eb94ca68d,classified,Porophyllum gracile,Leaf Area,11,1,1,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
b6a2368849056aaf2e5a8528c9877f37d130b5eddad69166c5dccc54a9c8939d,classified,Portulaca oleracea,Leaf Area,30,2,3,0,3,0,,taxon_outlier,0,0,0,,,approve_none_grouped
db3b585b3bb583db89505ca84e2562a1c568d4cb00962b7a1fdb265a260b6b9e,classified,Potentilla aurea,Leaf Area,31,1,4,0,2,0,,taxon_outlier,1,0,1,,3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6,approve_none_after_source_rule
3c60f803f6b2e9d1415fc7448c93562a2f00113dc7ba96b70344d5c4293e632b,classified,Potentilla cinerea,Leaf Area,20,2,2,0,4,0,,taxon_outlier,0,0,0,,,approve_none_grouped
20cd5c00e9574dbdd3bc20b0d6de2fca269e90641dcbdb49cb37c19e52db1479,classified,Potentilla crantzii,Leaf Area,50,2,16,0,2,0,,taxon_outlier,1,0,1,,3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6,approve_none_after_source_rule
66b5bd62baf3943d9b952baf863ba958811b0273b215c14cc233149ea1f66478,classified,Potentilla crinita,Leaf Area,20,1,4,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
526652073cd5d507d82c332ae28d026ce5558d48a02fc31dfab30ead3dff7a39,classified,Potentilla diversifolia,Leaf Area,34,1,2,0,3,0,,taxon_outlier,1,0,1,,8ddea77f82d884c1f128128e4ecd902453e642499cb52df3b28d00cf682288ab,approve_none_after_source_rule
91885feac5562170719baa573b8d3cb3949acb009478893c24c3a5a047f7ddde,classified,Potentilla erecta,Leaf Area,61,3,6,0,3,0,,taxon_outlier,1,0,1,,3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6,approve_none_after_source_rule
78462d4f98f7fe8058b75911b14bf0f8f4aee540bab2f572ffe886e0ed525750,classified,Potentilla gordonii,Leaf Area,25,1,1,0,4,0,,taxon_outlier,0,0,0,,,approve_none_grouped
80ce8fe518721b08f90f9409ad6dfcba69b2db70925c7fa04bcf9c750f50860e,classified,Potentilla indica,Leaf Area,30,2,2,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
144ff1999d7e0ab1ebf6db085888ff58ed822f2bef73c8f846475ab64431e665,classified,Potentilla micrantha,Leaf Area,26,3,4,2,2,0,,domain_outlier;taxon_outlier,0,0,0,,,approve_none_grouped
4734864238fd878a166b462d6f0c594893408993a4cf6a7921c3968bab09001e,classified,Potentilla pensylvanica,Leaf Area,10,1,1,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
a5a0a287c154e017b7dcf903dc6bd5c3443fc5635a2da30e5ca168a73e345ced,classified,Potentilla pusilla,Leaf Area,52,1,5,0,4,0,,taxon_outlier,0,0,0,,,approve_none_grouped
